Fwd_Seg_Size_Min,Dst_Port,Fwd_Header_Len,Init_Fwd_Win_Byts,Flow_Byts/s,Label
34,42840,48,85,537.1295371,0
34,80,48,42340,537.6666667,0
34,42830,48,85,494.6559786,0
173,80,48,83,493.1734932,0
34,42824,48,43440,538.2048715,0
34,80,48,42340,495.152123,0
34,42822,48,85,493.1734932,0
173,80,48,83,495.152123,0
188,42816,48,85,0,0
34,42818,48,43440,0,0
34,80,48,83,0,0
188,42812,48,85,0,0
188,42810,48,85,0,0
34,80,48,83,0,0
34,42812,48,85,0,0
173,80,48,83,0,0
34,80,48,42340,0,0
34,80,48,83,0,0
34,42808,48,85,0,0
34,80,48,83,0,0
34,42802,48,85,0,0
173,80,48,83,0,0
34,80,48,42340,0,0
34,80,48,42340,537.6666667,0
34,80,48,83,537.6666667,0
34,42792,48,85,494.1608275,0
188,42788,48,85,494.1608275,0
34,80,48,42340,537.6666667,0
34,42786,48,43440,494.1608275,0
34,80,48,83,24.6174318,0
34,42786,48,85,0,0
188,42782,48,85,0,0
34,42778,48,85,0,0
173,80,48,83,0,0
34,42776,48,85,0,0
173,80,48,83,0,0
34,42772,48,85,0,0
188,42768,48,85,0,0
34,42766,48,43440,0,0
34,80,48,83,0,0
34,80,48,83,0,0
34,42762,48,85,0,0
34,80,48,42340,0,0
34,80,48,83,0,0
34,42756,48,43440,0,0
34,80,48,42340,0,0
34,80,48,42340,0,0
34,80,48,83,0,0
188,42746,48,85,0,0
34,42746,48,85,0,0
34,80,48,83,0,0
34,42744,48,85,0,0
34,42742,48,43440,469,0
188,42734,48,85,493.6666667,0
34,80,48,42340,540.3685092,0
34,80,48,83,492.6813041,0
34,42734,48,85,536.5934797,0
34,80,48,83,536.5934797,0
34,80,48,42340,0,0
34,42730,48,85,0,0
34,80,48,42340,0,0
188,42724,48,85,0,0
34,80,48,42340,0,0
34,42726,48,85,0,0
34,42724,48,85,0,0
34,42724,48,43440,0,0
34,80,48,83,0,0
34,80,48,42340,0,0
34,80,48,42340,0,0
34,80,48,42340,0,0
34,80,48,83,0,0
34,80,48,42340,0,0
34,42712,48,43440,493.1734932,0
34,80,48,42340,537.1295371,0
34,80,48,83,493.6666667,0
34,80,48,42340,493.6666667,0
34,80,48,83,537.6666667,0
34,80,48,83,538.744155,0
34,80,48,42340,494.1608275,0
34,80,48,83,494.1608275,0
34,80,48,83,537.1295371,0
173,80,48,83,537.6666667,0
34,80,48,83,493.6666667,0
34,80,48,83,493.6666667,0
34,42840,48,85,494.1608275,0
34,80,48,42340,494.1608275,0
34,42830,48,85,538.2048715,0
173,80,48,83,537.6666667,0
34,42824,48,43440,493.1734932,0
34,80,48,42340,493.6666667,0
34,42822,48,85,494.1608275,0
173,80,48,83,0,0
188,42816,48,85,493.6666667,0
34,42818,48,43440,493.6666667,0
34,80,48,83,537.6666667,0
188,42812,48,85,537.6666667,0
188,42810,48,85,537.1295371,0
34,80,48,83,494.1608275,0
34,42812,48,85,493.1734932,0
173,80,48,83,537.6666667,0
